crop,target,task_type,count,with_images,gap_level
乌塌菜,weak_agronomy,general_qa,3,0,thin
乌塌菜,weak_agronomy,occurrence_condition,1,0,severe_gap
乌塌菜,菌核病,chemical_control,1,0,severe_gap
乌塌菜,菌核病,occurrence_condition,1,0,severe_gap
十字花科蔬菜,disease,chemical_control,1,1,severe_gap
十字花科蔬菜,disease,general_qa,1,0,severe_gap
十字花科蔬菜,disease,safety_correction,1,1,severe_gap
十字花科蔬菜,disease,symptom_diagnosis,1,1,severe_gap
十字花科蔬菜,pest,chemical_control,1,0,severe_gap
十字花科蔬菜,pest,safety_correction,1,0,severe_gap
十字花科蔬菜,pesticide_use,chemical_control,1,1,severe_gap
十字花科蔬菜,weak_agronomy,safety_correction,1,0,severe_gap
十字花科蔬菜,夜蛾类,chemical_control,1,1,severe_gap
十字花科蔬菜,夜蛾类,symptom_diagnosis,1,1,severe_gap
十字花科蔬菜,夜蛾类害虫,biological_control,1,0,severe_gap
十字花科蔬菜,夜蛾类害虫,chemical_control,1,0,severe_gap
十字花科蔬菜,夜蛾类害虫,safety_correction,1,0,severe_gap
十字花科蔬菜,大根病,agronomic_control,1,0,severe_gap
十字花科蔬菜,大根病,chemical_control,1,0,severe_gap
十字花科蔬菜,小菜蛾,agronomic_control,2,0,severe_gap
十字花科蔬菜,小菜蛾,biological_control,3,0,thin
十字花科蔬菜,小菜蛾,chemical_control,8,0,covered
十字花科蔬菜,小菜蛾,occurrence_condition,2,0,severe_gap
十字花科蔬菜,小菜蛾,safety_correction,5,0,thin
十字花科蔬菜,小菜蛾,symptom_diagnosis,4,0,thin
十字花科蔬菜,斑点病,agronomic_control,1,0,severe_gap
十字花科蔬菜,斑点病,chemical_control,1,0,severe_gap
十字花科蔬菜,斑点病,symptom_diagnosis,1,0,severe_gap
十字花科蔬菜,根结线虫,biological_control,1,0,severe_gap
十字花科蔬菜,根结线虫,safety_correction,1,0,severe_gap
十字花科蔬菜,根肿病,agronomic_control,7,3,thin
十字花科蔬菜,根肿病,biological_control,1,0,severe_gap
十字花科蔬菜,根肿病,chemical_control,9,4,covered
十字花科蔬菜,根肿病,occurrence_condition,2,2,severe_gap
十字花科蔬菜,根肿病,safety_correction,3,2,thin
十字花科蔬菜,根肿病,symptom_diagnosis,2,0,severe_gap
十字花科蔬菜,猝倒病,control_timing,1,0,severe_gap
十字花科蔬菜,猝倒病,symptom_diagnosis,1,0,severe_gap
十字花科蔬菜,病毒病,biological_control,1,0,severe_gap
十字花科蔬菜,病毒病,chemical_control,2,0,severe_gap
十字花科蔬菜,病毒病,safety_correction,1,0,severe_gap
十字花科蔬菜,白斑病,agronomic_control,1,0,severe_gap
十字花科蔬菜,白斑病,chemical_control,1,0,severe_gap
十字花科蔬菜,白斑病,symptom_diagnosis,1,0,severe_gap
十字花科蔬菜,白锈病,agronomic_control,1,0,severe_gap
十字花科蔬菜,白锈病,chemical_control,1,0,severe_gap
十字花科蔬菜,白锈病,symptom_diagnosis,1,0,severe_gap
十字花科蔬菜,粉虱,biological_control,1,0,severe_gap
十字花科蔬菜,粉虱,chemical_control,1,0,severe_gap
十字花科蔬菜,粉虱,safety_correction,1,0,severe_gap
十字花科蔬菜,菜螟,chemical_control,1,1,severe_gap
十字花科蔬菜,菜螟,occurrence_condition,1,1,severe_gap
十字花科蔬菜,菜螟,symptom_diagnosis,1,1,severe_gap
十字花科蔬菜,菜青虫,biological_control,1,0,severe_gap
十字花科蔬菜,菜青虫,chemical_control,5,2,thin
十字花科蔬菜,菜青虫,occurrence_condition,1,1,severe_gap
十字花科蔬菜,菜青虫,safety_correction,1,0,severe_gap
十字花科蔬菜,菜青虫,symptom_diagnosis,2,2,severe_gap
十字花科蔬菜,蚜虫,biological_control,1,0,severe_gap
十字花科蔬菜,蚜虫,chemical_control,2,1,severe_gap
十字花科蔬菜,蚜虫,control_timing,1,0,severe_gap
十字花科蔬菜,蚜虫,occurrence_condition,1,1,severe_gap
十字花科蔬菜,蚜虫,safety_correction,1,0,severe_gap
十字花科蔬菜,蚜虫,symptom_diagnosis,2,1,severe_gap
十字花科蔬菜,蟋蟀,biological_control,1,0,severe_gap
十字花科蔬菜,蟋蟀,chemical_control,1,0,severe_gap
十字花科蔬菜,蟋蟀,safety_correction,1,0,severe_gap
十字花科蔬菜,褐腐病,agronomic_control,1,0,severe_gap
十字花科蔬菜,褐腐病,chemical_control,1,0,severe_gap
十字花科蔬菜,褐腐病,symptom_diagnosis,1,0,severe_gap
十字花科蔬菜,软腐病,biological_control,1,0,severe_gap
十字花科蔬菜,软腐病,chemical_control,2,0,severe_gap
十字花科蔬菜,软腐病,safety_correction,1,0,severe_gap
十字花科蔬菜,霜霉病,agronomic_control,4,0,thin
十字花科蔬菜,霜霉病,biological_control,1,0,severe_gap
十字花科蔬菜,霜霉病,chemical_control,5,0,thin
十字花科蔬菜,霜霉病,control_timing,1,0,severe_gap
十字花科蔬菜,霜霉病,safety_correction,2,0,severe_gap
十字花科蔬菜,霜霉病,symptom_diagnosis,4,0,thin
十字花科蔬菜,黄曲条跳甲,biological_control,1,0,severe_gap
十字花科蔬菜,黄曲条跳甲,chemical_control,5,2,thin
十字花科蔬菜,黄曲条跳甲,control_timing,1,0,severe_gap
十字花科蔬菜,黄曲条跳甲,occurrence_condition,1,1,severe_gap
十字花科蔬菜,黄曲条跳甲,safety_correction,1,0,severe_gap
十字花科蔬菜,黄曲条跳甲,symptom_diagnosis,3,2,thin
十字花科蔬菜,黑斑病,agronomic_control,1,0,severe_gap
十字花科蔬菜,黑斑病,chemical_control,1,0,severe_gap
十字花科蔬菜,黑斑病,symptom_diagnosis,1,0,severe_gap
十字花科蔬菜,黑胫病,agronomic_control,1,0,severe_gap
十字花科蔬菜,黑胫病,chemical_control,1,0,severe_gap
十字花科蔬菜,黑胫病,symptom_diagnosis,1,0,severe_gap
大白菜,Tumv,general_qa,1,1,severe_gap
大白菜,disease,agronomic_control,4,1,thin
大白菜,disease,biological_control,14,2,covered
大白菜,disease,chemical_control,59,38,covered
大白菜,disease,general_qa,10,1,covered
大白菜,disease,occurrence_condition,9,6,covered
大白菜,disease,safety_correction,17,10,covered
大白菜,disease,symptom_diagnosis,28,25,covered
大白菜,mixed_pest_disease,chemical_control,2,1,severe_gap
大白菜,mixed_pest_disease,general_qa,1,0,severe_gap
大白菜,mixed_pest_disease,safety_correction,2,1,severe_gap
大白菜,mixed_pest_disease,symptom_diagnosis,1,1,severe_gap
大白菜,other,biological_control,2,0,severe_gap
大白菜,other,chemical_control,14,3,covered
大白菜,other,control_timing,9,3,covered
大白菜,other,general_qa,21,10,covered
大白菜,other,occurrence_condition,4,3,thin
大白菜,other,safety_correction,11,2,covered
大白菜,other,symptom_diagnosis,7,2,thin
大白菜,pest,agronomic_control,2,0,severe_gap
大白菜,pest,biological_control,1,0,severe_gap
大白菜,pest,chemical_control,22,12,covered
大白菜,pest,occurrence_condition,2,2,severe_gap
大白菜,pest,safety_correction,4,1,thin
大白菜,pest,symptom_diagnosis,4,3,thin
大白菜,pesticide_use,biological_control,5,0,thin
大白菜,pesticide_use,chemical_control,69,11,covered
大白菜,pesticide_use,control_timing,1,0,severe_gap
大白菜,pesticide_use,occurrence_condition,1,1,severe_gap
大白菜,pesticide_use,safety_correction,14,3,covered
大白菜,pesticide_use,symptom_diagnosis,2,2,severe_gap
大白菜,weak_agronomy,agronomic_control,80,37,covered
大白菜,weak_agronomy,biological_control,13,2,covered
大白菜,weak_agronomy,chemical_control,143,55,covered
大白菜,weak_agronomy,control_timing,45,14,covered
大白菜,weak_agronomy,general_qa,285,70,covered
大白菜,weak_agronomy,occurrence_condition,57,26,covered
大白菜,weak_agronomy,safety_correction,80,24,covered
大白菜,weak_agronomy,symptom_diagnosis,27,18,covered
大白菜,weed,chemical_control,57,1,covered
大白菜,weed,control_timing,3,0,thin
大白菜,weed,general_qa,6,0,thin
大白菜,weed,occurrence_condition,1,0,severe_gap
大白菜,weed,safety_correction,16,0,covered
大白菜,weed,symptom_diagnosis,1,0,severe_gap
大白菜,丝核菌叶片腐烂病,chemical_control,1,0,severe_gap
